case_id,concept_tag,severity,ai_root_cause,ai_confidence,rule_checker_verdict,human_verdict,human_edits,reviewer_notes,review_timestamp,reviewer_id,review_basis
CASE-001,VLAN,High,802.1Q trunk Native VLAN mismatch between Dist-SW1 (Native VLAN 10) and Dist-SW2 (Native VLAN 20) on interface Gi0/1.,high,FLAGGED,Accepted,None,Re-execution comparison: root_cause matches expected_fault.,2026-08-28T15:26:07Z,REEXECUTION-SIMULATION,Executed pipeline response; engine_mode=simulation; compared against data/cases.csv expected_fault.
CASE-002,VLAN,Medium,"Access port Gi0/5 is assigned to VLAN 50, but VLAN 50 does not exist in the switch VLAN database (vlan.dat), marking the port Inactive.",high,FLAGGED,Accepted,None,Re-execution comparison: root_cause matches expected_fault.,2026-08-28T15:26:07Z,REEXECUTION-SIMULATION,Executed pipeline response; engine_mode=simulation; compared against data/cases.csv expected_fault.
CASE-003,VLAN,High,VLAN 40 (Voice) is pruned from the trunk allowed list on uplink interface Gi0/24.,high,FLAGGED,Accepted,None,Re-execution comparison: root_cause matches expected_fault.,2026-08-28T15:26:07Z,REEXECUTION-SIMULATION,Executed pipeline response; engine_mode=simulation; compared against data/cases.csv expected_fault.
CASE-004,Wireless/L2,High,Interface Gi0/12 was placed into err-disabled state by STP BPDU Guard upon receiving unexpected BPDUs on a PortFast-enabled edge port.,high,FLAGGED,Accepted,None,Re-execution comparison: root_cause matches expected_fault.,2026-08-28T15:26:07Z,REEXECUTION-SIMULATION,Executed pipeline response; engine_mode=simulation; compared against data/cases.csv expected_fault.
CASE-005,Routing,High,Subnet mask mismatch on server SRV-01: configured with /28 (255.255.255.240) isolating it from router gateway 192.168.10.1.,high,FLAGGED,Accepted,None,Re-execution comparison: root_cause matches expected_fault.,2026-08-28T15:26:07Z,REEXECUTION-SIMULATION,Executed pipeline response; engine_mode=simulation; compared against data/cases.csv expected_fault.
CASE-006,Routing,High,Host DB-01 default gateway is misconfigured with IP 10.10.30.1 (VLAN 30 SVI) instead of 10.10.20.1 (local VLAN 20 SVI).,high,FLAGGED,Accepted,None,Re-execution comparison: root_cause matches expected_fault.,2026-08-28T15:26:07Z,REEXECUTION-SIMULATION,Executed pipeline response; engine_mode=simulation; compared against data/cases.csv expected_fault.
CASE-007,Routing,High,OSPF interface MTU mismatch on transit link Gi0/0 (Core-R1 MTU 1500 vs Dist-R2 MTU 1400) halting neighbor adjacency in EXSTART/DBD state.,high,FLAGGED,Accepted,None,Re-execution comparison: root_cause matches expected_fault.,2026-08-28T15:26:07Z,REEXECUTION-SIMULATION,Executed pipeline response; engine_mode=simulation; compared against data/cases.csv expected_fault.
CASE-008,Routing,High,Missing default static route (0.0.0.0/0) to ISP Gateway 203.0.113.1 on Branch-RTR; Gateway of last resort is not set.,high,FLAGGED,Accepted,None,Re-execution comparison: root_cause matches expected_fault.,2026-08-28T15:26:07Z,REEXECUTION-SIMULATION,Executed pipeline response; engine_mode=simulation; compared against data/cases.csv expected_fault.
CASE-009,Routing,Medium,"Core link GigabitEthernet0/2 is configured as a passive-interface under OSPF process 1, suppressing Hello transmissions.",high,FLAGGED,Accepted,None,Re-execution comparison: root_cause matches expected_fault.,2026-08-28T15:26:07Z,REEXECUTION-SIMULATION,Executed pipeline response; engine_mode=simulation; compared against data/cases.csv expected_fault.
CASE-010,Routing,High,eBGP peering session fails due to remote-as number mismatch (Edge-RTR configured with remote-as 65510 while ISP is in AS 65500).,high,FLAGGED,Accepted,None,Re-execution comparison: root_cause matches expected_fault.,2026-08-28T15:26:07Z,REEXECUTION-SIMULATION,Executed pipeline response; engine_mode=simulation; compared against data/cases.csv expected_fault.
CASE-011,Routing,Medium,"Static route next-hop IP 10.254.1.1 is unreachable and has no route in the RIB (recursive routing failure), preventing route installation.",high,FLAGGED,Accepted,None,Re-execution comparison: root_cause matches expected_fault.,2026-08-28T15:26:07Z,REEXECUTION-SIMULATION,Executed pipeline response; engine_mode=simulation; compared against data/cases.csv expected_fault.
CASE-012,NAT,High,NAT inside and outside interface directions are inverted (LAN Gi0/0 has 'ip nat outside' and WAN Gi0/1 has 'ip nat inside').,high,FLAGGED,Accepted,None,Re-execution comparison: root_cause matches expected_fault.,2026-08-28T15:26:07Z,REEXECUTION-SIMULATION,Executed pipeline response; engine_mode=simulation; compared against data/cases.csv expected_fault.
CASE-013,NAT,High,"NAT Access-List 10 permits 192.168.10.0/24 instead of the active LAN subnet 192.168.20.0/24, causing all traffic to bypass NAT translation.",high,FLAGGED,Accepted,None,Re-execution comparison: root_cause matches expected_fault.,2026-08-28T15:26:07Z,REEXECUTION-SIMULATION,Executed pipeline response; engine_mode=simulation; compared against data/cases.csv expected_fault.
CASE-014,NAT,High,"Dynamic NAT pool CORP_POOL range (198.51.100.1-6) includes IP 198.51.100.1, which is the upstream ISP default gateway IP.",high,FLAGGED,Accepted,None,Re-execution comparison: root_cause matches expected_fault.,2026-08-28T15:26:07Z,REEXECUTION-SIMULATION,Executed pipeline response; engine_mode=simulation; compared against data/cases.csv expected_fault.
CASE-015,NAT,Medium,Static 1-to-1 NAT configuration typo: mapped inside server 192.168.100.10 to 203.0.113.250 instead of registered public DNS IP 203.0.113.205.,medium,FLAGGED,Accepted,None,Re-execution comparison: root_cause matches expected_fault.,2026-08-28T15:26:07Z,REEXECUTION-SIMULATION,Executed pipeline response; engine_mode=simulation; compared against data/cases.csv expected_fault.
CASE-016,DHCP,High,Missing 'ip helper-address 10.1.1.50' relay configuration on interface Vlan20 on Core-SW1.,high,FLAGGED,Accepted,None,Re-execution comparison: root_cause matches expected_fault.,2026-08-28T15:26:07Z,REEXECUTION-SIMULATION,Executed pipeline response; engine_mode=simulation; compared against data/cases.csv expected_fault.
CASE-017,DHCP,High,"DHCP address pool GUEST_WIFI is 100% full (51/51 leases allocated), rejecting new guest client lease requests.",high,FLAGGED,Accepted,None,Re-execution comparison: root_cause matches expected_fault.,2026-08-28T15:26:07Z,REEXECUTION-SIMULATION,Executed pipeline response; engine_mode=simulation; compared against data/cases.csv expected_fault.
CASE-018,DHCP,High,Rogue DHCP server connected to switch port Gi0/8 distributing unauthorized IP leases (192.168.88.0/24) because DHCP Snooping is disabled.,high,CLEAN,Accepted,None,Re-execution comparison: root_cause matches expected_fault.,2026-08-28T15:26:07Z,REEXECUTION-SIMULATION,Executed pipeline response; engine_mode=simulation; compared against data/cases.csv expected_fault.
CASE-019,DHCP,Medium,Duplicate IP address conflict: static printer IP 192.168.1.25 was not included in 'ip dhcp excluded-address' and was leased to a PC.,high,FLAGGED,Accepted,None,Re-execution comparison: root_cause matches expected_fault.,2026-08-28T15:26:07Z,REEXECUTION-SIMULATION,Executed pipeline response; engine_mode=simulation; compared against data/cases.csv expected_fault.
CASE-020,DHCP,Low,DHCP server leased default gateway IP 10.50.0.254 to a client because 'ip dhcp excluded-address' only covered .1 to .50.,medium,FLAGGED,Accepted,None,Re-execution comparison: root_cause matches expected_fault.,2026-08-28T15:26:07Z,REEXECUTION-SIMULATION,Executed pipeline response; engine_mode=simulation; compared against data/cases.csv expected_fault.
CASE-021,ACL,High,Standard ACL 10 applied outbound on interface Gi0/3 explicitly denies source subnet 192.168.10.0/24 from reaching Accounting VLAN.,high,FLAGGED,Accepted,None,Re-execution comparison: root_cause matches expected_fault.,2026-08-28T15:26:07Z,REEXECUTION-SIMULATION,Executed pipeline response; engine_mode=simulation; compared against data/cases.csv expected_fault.
CASE-022,ACL,High,"Inbound ACL INBOUND_FILTER on WAN interface Gi0/1 lacks 'permit tcp any any established', dropping return SYN-ACK web traffic.",high,FLAGGED,Accepted,None,Re-execution comparison: root_cause matches expected_fault.,2026-08-28T15:26:07Z,REEXECUTION-SIMULATION,Executed pipeline response; engine_mode=simulation; compared against data/cases.csv expected_fault.
CASE-023,ACL,High,"ACL SEC_FILTER on WAN interface Gi0/0 permits TCP port 53 ('eq domain') but omits UDP port 53, blocking standard DNS queries.",high,FLAGGED,Accepted,None,Re-execution comparison: root_cause matches expected_fault.,2026-08-28T15:26:07Z,REEXECUTION-SIMULATION,Executed pipeline response; engine_mode=simulation; compared against data/cases.csv expected_fault.
